,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Major landfalling storms,Notes
0,1930,3,2,2,49.77,8000,$50 million,"4 ""San Zenón""","4 ""San Zenón""",The San Zenón hurricane was the fifth deadliest on record.
1,1931,13,3,1,47.84,2502,$7.5 million,"4 ""British Honduras""","4 ""British Honduras""",
2,1932,15,6,4,169.66,3315,$37 million,"5 ""Cuba""","4 ""Freeport"" 5 ""Bahamas"" 4 ""San Ciprián"" 5 ""Cuba""",Two Category 5 hurricanes; four major hurricanes made landfall.Only season to feature a Category 5 hurricane in November.
3,1933,20,11,6,258.57,651,$86.6 million,"5 ""Tampico""","4 ""Chesapeake–Potomac"" 5 ""Cuba–Brownsville"" 4 ""Treasure Coast"" 4 ""Outer Banks"" 5 ""Tampico""",Fourth most active season on record.Two Category 5 hurricanes and five major hurricanes made landfall.
4,1934,13,7,1,79.07,2017,$4.26 million,3 Thirteen,,
5,1935,8,5,3,106.21,2604,$12.5 million,"5 ""Labor Day""","5 ""Labor Day"" 4 ""Cuba""",The Labor Day hurricane was the most intense landfalling Atlantic hurricane known to date.
6,1936,17,7,1,99.78,5,$1.23 million,"3 ""Mid-Atlantic""",,"Record-tying 3 tropical storms formed in June (tied with 1886, 1909, 1968, and 2021)."
7,1937,11,4,1,65.85,0,Unknown,3 Six,,
8,1938,9,4,2,77.58,~700,$290.3 million,"5 ""New England""","5 ""New England""",Earliest starting season on record (January 3).
9,1939,6,3,1,43.68,5,Unknown,4 Five,,
