,Year,Tropicalcyclones,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Retirednames,Notes
0,1990,16,14,8,1,96.8,116,$150 million,3 Gustav,2 Diana 1 Klaus,No tropical storms or hurricanes made landfall in the United States.
1,1991,12,8,4,2,35.54,30,$2.5 billion,4 Claudette,3 Bob,
2,1992,9,7,4,1,76.22,66,$27 billion,5 Andrew,5 Andrew,Hurricane Andrew was the costliest U.S. hurricane until 2005.
3,1993,10,8,4,1,38.67,274,$271 million,3 Emily,None,
4,1994,12,7,3,0,32.02,1184,$1.56 billion,2 Florence,None,Last season of a 24-year period of decreased activity in the Atlantic (-AMO).
5,1995,21,19,11,5,227.1,115,$9.3 billion,4 Opal,4 Luis 3 Marilyn 4 Opal 3 Roxanne,"Tied for fifth most active season on record (with 1887, 2010, 2011 and 2012).First season of an ongoing period of increased activity in the Atlantic (+AMO)."
6,1996,13,13,9,6,166.18,179,$3.8 billion,4 Edouard,1 Cesar 3 Fran 4 Hortense,Highest number of major hurricanes at the time.
7,1997,9,8,3,1,40.93,11,$110 million,3 Erika,None,
8,1998,14,14,10,3,181.77,"12,000+",$12.2 billion,5 Mitch,4 Georges 5 Mitch,"Four simultaneous hurricanes on September 26, the first time since 1893.Mitch was the deadliest hurricane in over 200 years."
9,1999,16,12,8,5,176.53,465,$5.9 billion,4 Floyd,4 Floyd 4 Lenny,"Most Category 4 hurricanes on record, later tied by 2005 and 2020."
10,Total,132,110,64,25,1071.75,14440,$62.7 billion,Mitch,15 names,
