,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
125,Four,"September 23 – 28, 1927",110,967,No land areas,0,None,September 23 – 28,1927,September
126,One,"August 3 – 10, 1928",105,971,"Bahamas, Florida, Georgia, South Carolina",2,$235 thousand,August 3 – 10,1928,August
127,Seven,"September 8 – 16, 1931",100,987,"Puerto Rico, Dominican Republic, Haiti, Jamaica, Belize, Yucatán Peninsula, Veracruz",2,Moderate,September 8 – 16,1931,September
128,Fifteen,"November 3 – 10, 1932",100,973,Azores,0,Unknown,November 3 – 10,1932,November
129,Two,"June 24 – July 8, 1933",110,965,"Trinidad, Venezuela, Jamaica, Cayman Islands, Cuba, Tamaulipas",35,$7.5 million,June 24 – July 8,1933,June
130,Thirteen,"September 10 – 15, 1933",110,960,"Guatemala, Belize, Quintana Roo, Yucatán Peninsula, Tampico",67,Millions,September 10 – 15,1933,September
131,One,"June 4 – 18, 1934",100,966,"Belize, Guatemala, Chiapas, Yucatán Peninsula, Louisiana, Mississippi, Tennessee",">1,000",$4.4 million,June 4 – 18,1934,June
132,Seven,"September 3 – 7, 1934",105,967,East Coast of the United States,8,$10 thousand,September 3 – 7,1934,September
133,Ten,"October 1 – 4, 1934",100,984,No land areas,0,None,October 1 – 4,1934,October
134,Seven,"October 30 – November 8, 1935",105,964,"The Bahamas, Florida",19,$5.5 million,October 30 – November 8,1935,October
135,Five,"July 27 – August 1, 1936",105,964,"Bahamas, Florida, Alabama",4,$200 thousand,July 27 – August 1,1936,July
136,Ten,"August 25 – September 5, 1936",110,959,No land areas,0,None,August 25 – September 5,1936,August
137,Fifteen,"September 18 – 25, 1936",105,977,Nova Scotia,0,None,September 18 – 25,1936,September
138,Four,"September 9 – 14, 1937",100,992,"Nova Scotia, Canada",0,$1.5 million,September 9 – 14,1937,September
139,Eight,"September 20 – 26, 1937",100,982,No land areas,0,None,September 20 – 26,1937,September
140,Two,"August 3 – 10, 1940",100,972,"Texas, Louisiana, Arkansas",7,$10.75 million,August 3 – 10,1940,August
141,Three,"August 5 – 14, 1940",100,972,"South Carolina, Mid-Atlantic states",52,$13 million,August 5 – 14,1940,August
142,Four,"August 26 – September 2, 1940",110,961,"North Carolina, New England, Nova Scotia, Quebec",7,$4.05 million,August 26 – September 2,1940,August
143,Five,"September 7 – 17, 1940",100,988,"Nova Scotia, Newfoundland",3,$1.49 million,September 7 – 17,1940,September
