,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
41,Nine,"October 19 – 22, 1870",105,970,"Cuba, Florida",52,Severe,October 19 – 22,1870,October
42,Ten,"October 23 – 24, 1870",105,Unknown,Nova Scotia,0,None,October 23 – 24,1870,October
43,Five,"August 30 – September 2, 1871",105,Unknown,No land areas,0,None,August 30 – September 2,1871,August
44,Two,"August 20 – September 1, 1872",105,Unknown,Newfoundland,0,None,August 20 – September 1,1872,August
45,Seven,"October 31 – November 4, 1874",105,Unknown,"Jamaica, Cuba, Bahamas",0,None,October 31 – November 4,1874,October
46,Five,"October 7 – 10, 1875",105,Unknown,No land areas,0,None,October 7 – 10,1875,October
47,Four,"September 29 – October 5, 1876",105,Unknown,Nicaragua,0,Severe,September 29 – October 5,1876,September
48,Four,"August 25 – 30, 1878",105,972,Bahamas,0,None,August 25 – 30,1878,August
49,Five,"September 1 – 13, 1878",105,970,"Leeward Islands, Haiti, Cuba, Florida, South Carolina, Ontario",9,Significant,September 1 – 13,1878,September
50,Six,"September 12 – 18, 1878",105,Unknown,No land areas,0,None,September 12 – 18,1878,September
51,Eleven,"October 18 – 21, 1878",105,963,"Cuba, Bahamas, North Carolina, Virginia, Delaware, Washington, D.C., Maryland, New York, Pennsylvania, New England",72,$2 million,October 18 – 21,1878,October
52,Two,"August 19 – 24, 1879",105,964,"Yucatán Peninsula, Texas, Louisiana",0,Unknown,August 19 – 24,1879,August
53,Eight,"November 18 – 20, 1879",105,968,Canada[nb 1],0,Minor,November 18 – 20,1879,November
54,Four,"August 24 – September 1, 1880",105,972,"Florida, Mississippi",68,Unknown,August 24 – September 1,1880,August
55,Five,"August 21 – 29, 1881",105,970,"Georgia, Mississippi",700,Severe,August 21 – 29,1881,August
56,Six,"September 7 – 11, 1881",105,975,East Coast of the United States,0,Unknown,September 7 – 11,1881,September
57,Four,"October 7 – 17, 1884",105,980,"Jamaica, Cuba, Bahamas, Turks and Caicos Islands",8,Unknown,October 7 – 17,1884,October
58,Two,"August 21 – 27, 1885",105,953,"Bahamas, Florida, Georgia, South Carolina, North Carolina, Maryland",25,$1.8 million,August 21 – 27,1885,August
59,One,"June 13 – 15, 1886",100,997,"Texas, Louisiana",Unknown,Unknown,June 13 – 15,1886,June
60,Two,"June 17 – 24, 1886",100,Unknown,"Florida, Southeastern United States, Mid-Atlantic states",0,Severe,June 17 – 24,1886,June
61,Three,"June 27 – July 4, 1886",100,999,"Florida, North Carolina, Maryland",18,Unknown,June 27 – July 4,1886,June
62,Eight,"September 16 – 24, 1886",100,973,"Cuba, Texas",0,Unknown,September 16 – 24,1886,September
63,Nine,"September 22 – 30, 1886",100,990,No land areas,0,None,September 22 – 30,1886,September
64,Four,"July 20 – 28, 1887",100,981,"Cuba, Yucatán Peninsula, Florida, Georgia, Alabama",0,Extensive,July 20 – 28,1887,July
65,Eight,"September 1 – 4, 1887",105,963,Ireland,0,None,September 1 – 4,1887,September
66,Nine,"September 11 – 22, 1887",100,973,"Yucatán Peninsula, Texas, Extreme Northeastern Mexico",14,Unknown,September 11 – 22,1887,September
67,Fifteen,"October 15 – 19, 1887",105,975,No land areas,0,None,October 15 – 19,1887,October
68,Seven,"October 8 – 12, 1888",110,970,"Florida, East Coast of the United States",0,Unknown,October 8 – 12,1888,October
69,Nine,"November 17 – 25, 1888",100,982,No land areas,0,None,November 17 – 25,1888,November
70,Four,"September 1 – 12, 1889",105,981,"Puerto Rico, Virginia",40,Minimal,September 1 – 12,1889,September
71,Six,"September 12 – 25, 1889",110,985,"Yucatán Peninsula, Florida",0,Minor,September 12 – 25,1889,September
