Index,Category,Name,Winds(MPH),Deaths, Actual Dollars ,Landfall,Month,Year,DateImpact
1318,1,Unnamed,,,,North Carolina,September,1913,3-Sep
1319,1,Unnamed,,,,South Carolina,October,1913,8-Oct
183,2,Ten,105,0,,,September,1872,
187,2,Two,105,0,,,September,1873,
190,2,Five,105,0,,,August,1874,
191,2,Four,105,0,,,September,1874,
192,2,Seven,105,0,,,August,1874,
205,2,Five,105,9,,,September,1875,
206,2,Four,105,0,,,August,1875,
209,2,Six,105,0,,,October,1875,
214,2,Eleven,105,72,"$2,000,000.00 ",,September,1876,
219,2,Eight,105,0,,,September,1877,
221,2,Two,105,0,,,September,1877,
232,2,Five,105,700,,,August,1878,
1229,1,Unnamed,,,,Florida,August,1915,1-Aug
1231,1,Unnamed,,,,Louisiana,August,1915,17-Aug
1234,4,Unnamed,,,,Texas,August,1915,17-Aug
1230,1,Unnamed,,,,Florida,September,1915,4-Sep
1232,3,Unnamed,,,,Louisiana,September,1915,29-Sep
1233,2,Unnamed,,,,Mississippi,September,1915,29-Sep
233,2,Four,105,68,,,August,1878,
234,2,Four,105,8,,,October,1878,
236,2,Six,105,0,,,October,1878,
271,2,Two,105,25,"$1,800,000.00 ",,August,1879,
288,2,Eight,105,0,,,October,1880,
1144,2,Unnamed,,,,Alabama,July,1916,5-Jul
1146,2,Unnamed,,,,Florida,July,1916,5-Jul
1148,3,Unnamed,,,,Mississippi,July,1916,6-Jul
1149,2,Unnamed,,,,South Carolina,July,1916,14-Jul
1150,4,Unnamed,,,,Texas,August,1916,18-Aug
1145,2,Unnamed,,,,Alabama,October,1916,18-Oct
1147,2,Unnamed,,,,Florida,October,1916,18-Oct
320,2,Fifteen,105,0,,,August,1881,
340,2,Four,105,40,,,August,1883,
418,2,Five,105,,,,June,1888,
447,2,Four,105,0,,,August,1891,
452,2,Seven,105,0,,,October,1892,
468,2,Four,105,0,,,September,1897,
1151,1,Unnamed,,,,Alabama,September,1917,29-Sep
1152,3,Unnamed,,,,Florida,September,1917,29-Sep
1153,2,Unnamed,,,,Louisiana,September,1917,29-Sep
1295,3,Unnamed,,,,Louisiana,August,1918,7-Aug
1297,1,Unnamed,,,,Texas,August,1918,7-Aug
1296,1,Unnamed,,,,North Carolina,August,1918,24-Aug
481,2,Two,105,0,,,September,1898,
485,2,Twelve,105,198,"$10,000,000.00 ",,October,1901,
496,2,Nine,105,0,,,August,1901,
1235,4,Unnamed,,,,Florida,September,1919,10-Sep
1236,3,Unnamed,,,,Texas,September,1919,14-Sep
522,2,Three,105,0,,,September,1904,
1298,2,Unnamed,,,,Louisiana,September,1920,21-Sep
529,2,Two,105,0,,,November,1906,
546,2,Two,105,0,,,October,1912,
551,2,Five,105,0,,,August,1913,
553,2,Eight,105,0,,,October,1913,
560,2,One,105,2,"$235,000.00 ",,July,1915,
581,2,Seven,105,19,"$5,500,000.00 ",,September,1921,
1238,1,Unnamed,,,,Texas,June,1921,22-Jun
1237,3,Unnamed,,,,Florida,October,1921,25-Oct
582,2,Seven,105,8,"$10,000.00 ",,June,1921,
590,2,Five,105,4,"$200,000.00 ",,September,1922,
593,2,Fifteen,105,0,,,October,1923,
639,2,One,105,19,"$17,000,000.00 ",,September,1931,
681,2,King,105,1,"$3,260,000.00 ",,June,1936,
688,2,Baker,105,38,"$2,500,000.00 ",,October,1937,
697,2,Item,105,0,"$1,500,000.00 ",,October,1940,
706,2,Easy,105,0,,,July,1944,
712,2,Diane,105,184,"$754,000,000.00 ",,October,1945,
717,2,Edith,105,0,,,July,1946,
720,2,Flora,105,0,,,August,1947,
740,2,Daisy,105,32,"$1,100,000.00 ",,August,1951,
741,2,Anna,105,1,"$300,000.00 ",,May,1951,
1299,1,Unnamed,,,,Louisiana,October,1923,16-Oct
1300,1,Unnamed,,,,Mississippi,October,1923,16-Oct
751,2,Anna,105,0,,,October,1953,
755,2,Ethel,105,0,,,September,1953,
1115,2,Kara,105,0,,,December,1954,
766,2,Laurie,105,0,,,September,1955,
771,2,Eighteen,105,0,,,July,1956,
772,2,Betty,105,0,,,September,1957,
1241,1,Unnamed,,,,Massachusetts,August,1924,26-Aug
1242,1,Unnamed,,,,North Carolina,August,1924,26-Aug
1239,1,Unnamed,,,,Florida,September,1924,15-Sep
1240,1,Unnamed,,,,Florida,October,1924,21-Oct
782,2,Emmy,105,68,,,July,1959,
783,2,Faye,105,0,,,July,1959,
786,2,Gloria,105,0,,,September,1959,
804,2,Ivan,105,0,,,September,1961,
808,2,Gert,105,0,,,August,1962,
809,2,Josephine,105,1,,,November,1962,
811,2,Dean,105,0,"$8,900,000.00 ",,September,1963,
813,2,Earl,105,0,,,September,1963,
818,2,Erin,105,0,,,July,1964,
830,2,Grace,105,0,,,July,1966,
846,2,Danielle,105,0,"$50,000.00 ",,June,1968,
850,2,Jeanne,105,0,,,October,1968,
852,2,Dennis,105,4,"$157,000,000.00 ",,September,1969,
613,4,Unnamed,,,,Florida,September,1926,18-Sep
860,2,Karl,105,0,,,August,1969,
867,2,Humberto,105,0,,,May,1970,
874,2,Irene,105,1,,,September,1971,
880,2,Ida,105,4,"$11,400,000.00 ",,June,1972,
888,2,Paula,105,1,,,July,1973,
897,2,Kirk,105,0,,,August,1976,
561,4,Galveston,,,,,August,1915,
562,4,New Orleans,,,,,September,1915,
899,2,Katia,105,3,"$3,260,000.00 ",,September,1977,
901,2,Chris,105,1,,,September,1977,
1243,2,Unnamed,,,,Florida,August,1928,8-Aug
1244,4,Unnamed,,,,Florida,September,1928,17-Sep
1245,1,Unnamed,,,,Georgia,September,1928,18-Sep
1246,1,Unnamed,,,,South Carolina,September,1928,18-Sep
910,2,Jerry,105,0,,,October,1978,
913,2,Paulette,105,1,"$50,000,000.00 ",,July,1979,
51,2,Four,100,,,,September,1858,
56,2,Two,100,0,,,August,1858,
273,2,One,100,,,,October,1879,
287,2,Eight,100,0,,,September,1880,
290,2,Four,100,0,,,October,1880,
292,2,Nine,100,0,,,September,1880,
573,4,Florida Keys,,,,,September,1919,
297,2,Three,100,18,,,August,1880,
299,2,Two,100,0,,,August,1880,
322,2,Nine,100,14,,,August,1881,
331,2,Nine,100,0,,,September,1882,
344,2,Four,100,0,,,September,1884,
350,2,Five,100,0,,,September,1885,
351,2,Five,100,0,,,August,1885,
355,2,Seven,100,0,,,September,1885,
357,2,Six,100,0,,,September,1885,
359,2,Three,100,0,,,September,1885,
650,4,Unnamed,,,,Texas,August,1932,14-Aug
382,2,Two,100,,,,July,1886,
395,2,Eight,100,0,,,October,1887,
397,2,Five,100,0,,,September,1887,
401,2,Seven,100,5,,,October,1887,
588,4,Tampa Bay,,,,,October,1921,
415,2,One,100,1,"$100,000.00 ",,September,1888,
425,2,Five,100,4,"$500,000.00 ",,June,1889,
431,2,One,100,45,,,September,1889,
1247,1,Unnamed,,,,Florida,July,1933,30-Jul
1252,2,Unnamed,,,,Texas,August,1933,7-Aug
1249,1,Unnamed,,,,Maryland,August,1933,23-Aug
1250,1,Unnamed,,,,North Carolina,August,1933,23-Aug
1248,3,Unnamed,,,,Florida,September,1933,4-Sep
1253,3,Unnamed,,,,Texas,September,1933,5-Sep
1251,2,Unnamed,,,,North Carolina,September,1933,16-Sep
1254,1,Unnamed,,,,Virginia,September,1933,16-Sep
433,2,Six,100,0,,,August,1889,
434,2,Three,100,0,,,May,1889,
440,2,Two,100,7,"$1,000,000.00 ",,July,1891,
453,2,Three,100,0,,,August,1892,
458,2,Three,100,0,,,June,1893,
467,2,Four,100,57,"$9,000,000.00 ",,October,1897,
478,2,Seven,100,0,,,August,1898,
486,2,Two,100,0,"$1,300,000.00 ",,September,1901,
497,2,One,100,0,,,July,1901,
503,2,Three,100,17,"$27,400,000.00 ",,September,1903,
504,2,Four,100,10,"$2,000,000.00 ",,November,1903,
505,2,Four,100,0,,,July,1903,
514,2,Six,100,42,"$28,000.00 ",,June,1904,
518,2,Four,100,0,,,September,1904,
1301,2,Unnamed,,,,Louisiana,June,1934,16-Jun
1305,2,Unnamed,,,,Texas,July,1934,25-Jul
1302,1,Unnamed,,,,New Jersey,September,1934,8-Sep
1303,1,Unnamed,,,,New York,September,1934,8-Sep
1304,1,Unnamed,,,,North Carolina,September,1934,9-Sep
539,2,Two,100,1,"$1,450,000.00 ",,August,1911,
566,2,Fifteen,100,0,,,September,1916,
568,2,Seven,100,2,,,August,1916,
609,4,Miami,,,,,September,1926,
610,4,Nassau,,,,,July,1926,
574,2,One,100,,"$4,400,000.00 ",,September,1920,
589,2,Ten,100,0,,,September,1921,
599,2,Four,100,0,"$1,500,000.00 ",,September,1924,
602,2,Eight,100,0,,,November,1924,
1255,5,Unnamed,,,,Florida,September,1935,3-Sep
1285,1,"""Labor Day""",,,,Georgia,September,1935,5-Sep
1256,2,Unnamed,,,,Florida,November,1935,4-Nov
606,2,Two,100,7,"$10,750,000.00 ",,August,1925,
617,2,Three,100,52,"$13,000,000.00 ",,September,1927,
624,2,Five,100,3,"$1,490,000.00 ",,August,1928,
628,2,Seven,100,0,,,September,1928,
1259,1,Unnamed,,,,Texas,June,1936,27-Jun
1257,2,Unnamed,,,,Florida,July,1936,31-Jul
1258,1,Unnamed,,,,North Carolina,September,1936,18-Sep
1260,1,Unnamed,,,,Virginia,September,1936,18-Sep
642,2,Six,100,0,"$419,000.00 ",,August,1932,
653,2,One,100,1,"$750,000.00 ",,October,1933,
656,2,Nine,100,0,,,September,1933,
665,2,Six,100,5,"$5,200,000.00 ",,August,1934,
666,2,Eleven,100,5,"$2,000,000.00 ",,July,1934,
669,2,Four,100,0,,,July,1934,
699,2,How,100,17,"$2,000,000.00 ",,September,1941,
701,2,Able,100,3,"$21,700,000.00 ",,August,1942,
710,2,Thirteen,100,0,,,October,1944,
721,2,Greta,100,1,"$3,580,000.00 ",,November,1948,
736,2,Janice,100,9,"$200,000.00 ",,October,1950,
638,4,San Zenón,,,,,0,1930,
1166,1,Unnamed,,,,Louisiana,August,1938,15-Aug
1165,3,Unnamed,,,,Conneticut,September,1938,21-Sep
1167,2,Unnamed,,,,Massachusetts,September,1938,21-Sep
1168,3,Unnamed,,,,New York,September,1938,21-Sep
1169,3,Unnamed,,,,Rhode Island,September,1938,21-Sep
738,2,Edith,100,10,"$46,600,000.00 ",,September,1951,
1261,1,Unnamed,,,,Florida,August,1939,11-Aug
785,2,Flossie,100,0,,,October,1959,
790,2,Bonnie,100,0,,,August,1960,
799,2,Gloria,100,0,,,July,1960,
805,2,Jeanne,100,0,,,November,1961,
821,2,Diana,100,139,"$90,700,000.00 ",,September,1965,
832,2,Isidore,100,0,,,July,1966,
1287,2,Unnamed,,,,Louisiana,August,1940,7-Aug
1289,2,Unnamed,,,,Texas,August,1940,8-Aug
1286,1,Unnamed,,,,Georgia,August,1940,11-Aug
1288,2,Unnamed,,,,South Carolina,August,1940,11-Aug
834,2,Erin,100,13,"$700,000,000.00 ",,October,1967,
647,4,San Ciprián,,,,,0,1932,
1263,3,Unnamed,,,,Texas,September,1941,23-Sep
1262,2,Unnamed,,,,Florida,October,1941,6-Oct
835,2,Gert,100,116,"$170,000,000.00 ",,August,1967,
843,2,Earl,100,3,"$79,000,000.00 ",,August,1968,
1332,1,Unnamed,,,,Texas,August,1942,21-Aug
1333,3,Unnamed,,,,Texas,August,1942,30-Aug
854,2,Jose,100,3,"$5,000,000.00 ",,October,1969,
864,2,Gustav,100,4,"$340,000.00 ",,October,1970,
1334,2,Unnamed,,,,Texas,July,1943,27-Jul
1175,1,Unnamed,,,,North Carolina,August,1944,1-Aug
1173,1,Unnamed,,,,New Jersey,September,1944,14-Sep
1176,2,Unnamed,,,,North Carolina,September,1944,14-Sep
1178,2,Unnamed,,,,Virginia,September,1944,14-Sep
1170,1,Unnamed,,,,Conneticut,September,1944,15-Sep
1172,1,Unnamed,,,,Massachusetts,September,1944,15-Sep
1174,2,Unnamed,,,,New York,September,1944,15-Sep
1177,2,Unnamed,,,,Rhode Island,September,1944,15-Sep
1171,4,Unnamed,,,,Florida,October,1944,19-Oct
869,2,Dolly,100,26,"$1,600,000,000.00 ",,September,1971,
883,2,Richard,100,2,"$80,000,000.00 ",,August,1973,
884,2,Tomas,100,51,"$4,634,000.00 ",,October,1973,
889,2,Ernesto,100,12,"$252,200,000.00 ",,September,1974,
659,4,Chesapeake,,,,,August,1933,
894,2,Arthur,100,1,"$28,600,000.00 ",,October,1976,
3,1,One,90,1,,,June,1851,
5,1,Two,90,0,,,July,1851,
663,4,Outer Banks,,,,,September,1933,
664,4,Treasure Coast,,,,,August,1933,
7,1,Four,90,0,,,September,1852,
48,1,Five,90,0,,,September,1858,
50,1,Four,90,0,,,September,1858,
62,1,Eight,90,,,,October,1859,
1264,1,Unnamed,,,,Florida,October,1946,8-Oct
88,1,Two,90,0,,,August,1861,
147,1,Five,90,0,,,September,1870,
1271,1,Unnamed,,,,Texas,August,1947,24-Aug
1265,4,Unnamed,,,,Florida,September,1947,17-Sep
1268,2,Unnamed,,,,Louisiana,September,1947,19-Sep
1269,2,Unnamed,,,,Mississippi,September,1947,19-Sep
1266,1,Unnamed,,,,Florida,October,1947,11-Oct
1267,2,Unnamed,,,,Georgia,October,1947,15-Oct
1270,2,Unnamed,,,,South Carolina,October,1947,15-Oct
193,1,Six,90,0,,,September,1874,
194,1,Three,90,0,,,August,1874,
215,1,One,90,0,,,September,1876,
725,4,Unnamed,,,,Florida,September,1948,21-Sep
237,1,Three,90,0,,,August,1878,
289,1,Five,90,0,,,August,1880,
294,1,Seven,90,0,,,September,1880,
296,1,Ten,90,0,,,October,1880,
298,1,Three,90,0,,,August,1880,
323,1,Three,90,0,,,August,1881,
732,4,Unnamed,,,,Florida,August,1949,26-Aug
341,1,One,90,0,,,August,1883,
347,1,Three,90,0,,,September,1884,
353,1,Four,90,4,,,September,1885,
354,1,One,90,0,,,August,1885,
356,1,Seven,90,0,,,September,1885,
438,1,Four,90,,,,October,1890,
1154,1,Baker,,,,Alabama,August,1950,31-Aug
1272,3,Easy,,,,Florida,September,1950,5-Sep
1273,4,King,,,,Florida,October,1950,18-Oct
448,1,One,90,10,,,July,1891,
450,1,Eight,90,0,,,October,1892,
487,1,1901 Louisiana hurricane,90,,,,August,1901,
506,1,1903 Florida hurricane,90,,"$500,000.00 ",,September,1903,
524,1,Five,90,7,"$2,000,000.00 ",,September,1906,
541,1,Four,90,,"$39,000.00 ",,September,1912,
544,1,Five,90,,,,October,1912,
586,1,Four,90,0,,,September,1921,
587,1,One,90,0,,,June,1921,
622,1,Two,90,0,,,September,1927,
623,1,1928 Haiti hurricane,90,210,"$2,000,000.00 ",,August,1928,
1330,2,Able,,,,South Carolina,August,1952,31-Aug
629,1,Six,90,0,,,September,1928,
748,1,Barbara,90,9,"$1,300,000.00 ",North Carolina,August,1953,14-Aug
1274,1,Florence,,,,Florida,September,1953,26-Sep
750,1,Hazel,85,0,"$250,000.00 ",Florida,October,1953,9-Oct
631,1,One,90,,"$365,000.00 ",,June,1929,
652,1,Eighteen,90,23,"$3,000,000.00 ",,October,1933,
654,1,1933 Florida–Mexico hurricane,90,,"$500,000.00 ",,July,1933,
673,1,Two,90,0,,,July,1934,
696,1,Six,90,2,,,October,1939,
713,1,Ten,90,1,,,October,1945,
731,1,Thirteen,90,0,,,October,1949,
1179,3,Carol,,,,Conneticut,August,1954,31-Aug
1180,2,Carol,,,,Massachusetts,August,1954,31-Aug
1181,3,Carol,,,,New York,August,1954,31-Aug
1182,1,Carol,,,,North Carolina,August,1954,31-Aug
1183,3,Carol,,,,Rhode Island,August,1954,31-Aug
1309,2,Edna,,,,Massachusetts,September,1954,11-Sep
1310,1,Edna,,,,New York,September,1954,11-Sep
1311,1,Edna,,,,North Carolina,September,1954,11-Sep
1312,1,Edna,,,,Rhode Island,September,1954,11-Sep
760,4,Hazel,,,,North Carolina,October,1954,15-Oct
761,4,Hazel,,,,South Carolina,October,1954,15-Oct
739,1,Dog,90,7,"$3,000,000.00 ",,August,1951,
742,1,Able,90,0,,,May,1951,
757,1,Alice,90,0,"$623,000.00 ",,December,1954,
708,4,Great Atlantic hurricane,,,,,September,1944,
762,1,Gladys,90,0,"$500,000.00 ",,September,1955,
800,1,Debbie,90,78,"$50,000,000.00 ",,September,1961,
1321,2,Ione,,,,North Carolina,September,1955,19-Sep
810,1,Ten,90,0,,,November,1962,
824,1,Carol,90,0,,,September,1965,
841,1,Heidi,90,0,,,October,1967,
767,1,Flossy,90,15,"$24,900,000.00 ",Florida,September,1956,24-Sep
853,1,Martha,90,5,"$30,000,000.00 ",,November,1969,
885,1,Alice,90,0,,,July,1973,
886,1,Brenda,90,10,,,August,1973,
895,1,Candice,90,0,,,August,1976,
1306,3,Audrey,,,,Louisiana,June,1957,27-Jun
1307,2,Audrey,,,,Texas,June,1957,27-Jun
908,1,Cora,90,1,,,August,1978,
927,1,Emily,90,0,,,August,1981,
932,1,Klaus,90,2,"$152,000,000.00 ",,November,1984,
987,1,Ivan,90,0,,,September,1998,
997,1,Joyce,90,0,,,September,2000,
1004,1,Olga,90,0,,,November,2001,
780,1,Cindy,75,6,"$75,000.00 ",South Carolina,July,1959,9-Jul
779,1,Debra,85,0,"$700,000.00 ",Texas,July,1959,25-Jul
787,4,Gracie,,,,South Carolina,September,1959,29-Sep
1035,1,Nate,90,2,,,September,2005,
1039,1,Florence,90,0,"$20,000.00 ",,September,2006,
1061,1,Philippe,90,0,,,September,2011,
1065,1,Nadine,90,0,,,September,2012,
1066,1,Humberto,90,0,,,September,2013,
1094,1,Leslie,90,17,,,September,2018,
380,1,Four,85,,,,July,1886,
398,1,Fourteen,85,0,,,October,1887,
793,4,Donna,,,,Florida,September,1960,10-Sep
743,4,Charlie,,,,,August,1951,
405,1,Thirteen,85,,,,October,1887,
443,1,Nine,85,,,,October,1891,
472,1,Two,85,29,,,September,1897,
747,4,Fox,,,,,October,1952,
482,1,Two,85,,,,August,1898,
1313,1,Ethel,,,,Mississippi,September,1960,15-Sep
547,1,Four,85,5,"$4,000,000.00 ",,August,1913,
569,1,Ten,85,0,,,September,1916,
576,1,Five,85,1,,,September,1920,
579,1,Three,85,1,,,September,1920,
801,4,Carla,,,,Texas,September,1961,11-Sep
604,1,Five,85,,,,September,1924,
643,1,1932 Florida–Alabama hurricane,85,,"$226,000.00 ",,August,1932,
672,1,Three,85,,,,July,1934,
675,1,1935 hurricane,85,2150,,,October,1935,
759,1,Dolly,85,0,,,August,1954,
770,1,Anna,85,0,"$50,000.00 ",,July,1956,
774,1,Frieda,85,0,,,September,1957,
776,1,Fifi,85,0,,,September,1958,
778,1,Escuminac (Three),85,35,"$2,500,000.00 ",,June,1959,
788,1,Judith,85,0,,,October,1959,
791,1,Cleo,85,0,,,August,1960,
807,1,Alma,85,1,"$1,000,000.00 ",,August,1962,
820,1,Three,85,0,,,July,1964,
829,1,Dorothy,85,0,,,July,1966,
773,4,Carrie,,,,,September,1957,
836,1,Doria,85,3,"$150,000.00 ",,September,1967,
837,1,Arlene,85,0,,,August,1967,
1308,1,Ethel,,,,Louisiana,September,1964,15-Sep
839,1,Fern,85,3,,,October,1967,
1275,2,Isbell,,,,Florida,October,1964,14-Oct
855,1,Blanche,85,0,,,August,1969,
859,1,Holly,85,0,,,September,1969,
872,1,Beth,85,1,"$5,100,000.00 ",,August,1971,
823,4,Betsy,,,,Louisiana,September,1965,10-Sep
877,1,Two,85,0,,,August,1971,
892,1,Blanche,85,0,"$6,200,000.00 ",,July,1975,
1276,3,Alma,,,,Florida,June,1966,9-Jun
903,1,Dorothy,85,0,,,September,1977,
920,1,Henri,85,0,,,September,1979,
925,1,Karl,85,0,,,November,1980,
928,1,Katrina,85,2,,,November,1981,
929,1,Alberto,85,23,"$85,000,000.00 ",,June,1982,
944,1,Claudette,85,0,,,August,1985,
947,1,Frances,85,0,,,November,1986,
958,1,Felix,85,0,,,August,1989,
961,1,Josephine,85,0,,,September,1990,
963,1,Nana,85,0,,,October,1990,
967,1,Frances,85,0,,,October,1992,
970,1,Gordon,85,1152,"$594,000,000.00 ",,November,1994,
977,1,Tanya,85,1,,,October,1995,
979,1,Cesar,85,113,"$203,000,000.00 ",,July,1996,
990,1,Nicole,85,0,,,November,1998,
995,1,Debby,85,1,"$7,350,000.00 ",,August,2000,
1006,1,Kyle,85,1,"$5,000,000.00 ",,September,2002,
1034,1,Epsilon,85,0,,,November,2005,
1040,1,Isaac,85,0,,,September,2006,
814,4,Flora,,,,,October,1963,
1050,1,Hanna,85,537,"$160,000,000.00 ",,August,2008,
1051,1,Kyle,85,8,"$57,000,000.00 ",,September,2008,
1056,1,Lisa,85,0,,,September,2010,
1057,1,Otto,85,0,,,October,2010,
1063,1,Chris,85,0,,,June,2012,
1067,1,Ingrid,85,32,,,September,2013,
857,5,Camille,175,259,,Louisiana,August,1969,17-Aug
