,Name,Category,DateImpact,Year,Landfall
229,Betsy,4,10-Sep,1965,Louisiana
249,Laura,4,27-Aug,2020,Louisiana
252,Ida,4,29-Aug,2021,Louisiana
344,Hazel,4,15-Oct,1954,North Carolina
402,Hazel,4,15-Oct,1954,South Carolina
404,Gracie,4,29-Sep,1959,South Carolina
407,Hugo,4,22-Sep,1989,South Carolina
423,Unnamed,4,20-Aug,1886,Texas
431,Unnamed,4,9-Sep,1900,Texas
438,Unnamed,4,17-Aug,1915,Texas
439,Unnamed,4,18-Aug,1916,Texas
444,Unnamed,4,14-Aug,1932,Texas
459,Carla,4,11-Sep,1961,Texas
461,Celia,4,3-Aug,1970,Texas
474,Harvey,4,26-Aug,2017,Texas
112,Unnamed,5,3-Sep,1935,Florida
145,Andrew,5,24-Aug,1992,Florida
162,Michael,5,10-Oct,2018,Florida
230,Camille,5,17-Aug,1969,Louisiana
284,Camille,5,18-Aug,1969,Mississippi
