Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,1123.2,28
Western Fire Season (Fall 2002),Wildfire,2076.9,21
U.S. Drought (Spring-Fall 2002),Drought,14410.4,0
Severe Storms/Hail (April 2003),Severe Storm,3089.9,3
Severe Storms/Tornadoes (May 2003),Severe Storm,6398.9,51
Midwest/Plains Severe Weather (July 2003),Severe Storm,1321.4,7
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,1552.5,7
Hurricane Matthew (October 2016),Tropical Cyclone,11700,49
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,7827.8,35
California Wildfires (Fall 2003),Wildfire,5952.3,22
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,1521.1,4
Colorado Hail Storms (June 2004),Severe Storm,1042.5,0
Hurricane Frances (September 2004),Tropical Cyclone,14601.9,48
Hurricane Irene (August 2011),Tropical Cyclone,16867.6,45
Hurricane Laura (August 2020),Tropical Cyclone,25304.5,42
Hurricane Fran (September 1996),Tropical Cyclone,9012.6,37
Southeast Severe Weather (March 2005),Severe Storm,1271.7,0
Hurricane Wilma (October 2005),Tropical Cyclone,26980,35
Hurricane Charley (August 2004),Tropical Cyclone,23999.3,35
Midwest Drought (Spring-Summer 2005),Drought,2197.5,0
Hurricane Jeanne (September 2004),Tropical Cyclone,11169.8,28
Hurricane Opal (October 1995),Tropical Cyclone,8674.7,27
Severe Storms and Tornadoes (March 2006),Severe Storm,1899.3,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2261.5,10
Midwest Tornadoes (April 2006),Severe Storm,3417.2,27
Northeast Flooding (June 2006),Flooding,2130.2,20
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,1055.1,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,8577.1,0
