Track for Larry                2021
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/07/2021 11:30:46     23.879 N     55.291 W
09/07/2021 11:32:47     23.883 N     55.295 W
09/07/2021 11:33:05     23.884 N     55.296 W
09/07/2021 11:35:05     23.888 N     55.301 W
09/07/2021 11:37:05     23.892 N     55.306 W
09/07/2021 11:39:06     23.897 N     55.312 W
09/07/2021 11:41:06     23.901 N     55.317 W
09/07/2021 11:43:06     23.905 N     55.322 W
09/07/2021 11:45:06     23.909 N     55.327 W
09/07/2021 11:47:05     23.913 N     55.332 W
09/07/2021 11:49:05     23.918 N     55.337 W
09/07/2021 11:51:05     23.922 N     55.342 W
09/07/2021 11:53:05     23.926 N     55.347 W
09/07/2021 11:55:06     23.930 N     55.352 W
09/07/2021 11:57:06     23.935 N     55.357 W
09/07/2021 12:00:06     23.939 N     55.362 W
09/07/2021 12:01:06     23.943 N     55.367 W
09/07/2021 12:03:05     23.947 N     55.372 W
09/07/2021 12:05:05     23.951 N     55.377 W
09/07/2021 12:07:05     23.956 N     55.382 W
09/07/2021 12:09:06     23.960 N     55.387 W
09/07/2021 12:11:06     23.964 N     55.392 W
09/07/2021 12:13:06     23.968 N     55.397 W
09/07/2021 12:15:06     23.972 N     55.401 W
09/07/2021 12:17:05     23.977 N     55.406 W
09/07/2021 12:19:05     23.981 N     55.411 W
09/07/2021 12:21:05     23.985 N     55.416 W
09/07/2021 12:23:05     23.989 N     55.421 W
09/07/2021 12:25:06     23.993 N     55.425 W
09/07/2021 12:27:06     23.997 N     55.430 W
09/07/2021 12:29:06     24.002 N     55.435 W
09/07/2021 12:31:06     24.006 N     55.440 W
09/07/2021 12:33:05     24.010 N     55.444 W
09/07/2021 12:35:05     24.014 N     55.449 W
09/07/2021 12:37:05     24.018 N     55.454 W
09/07/2021 12:39:06     24.023 N     55.458 W
09/07/2021 12:41:06     24.027 N     55.463 W
09/07/2021 12:43:06     24.031 N     55.468 W
09/07/2021 12:45:06     24.035 N     55.472 W
09/07/2021 12:47:05     24.039 N     55.477 W
09/07/2021 12:49:05     24.044 N     55.481 W
09/07/2021 12:51:05     24.048 N     55.486 W
09/07/2021 12:53:05     24.052 N     55.491 W
09/07/2021 12:55:06     24.056 N     55.495 W
09/07/2021 12:57:06     24.060 N     55.500 W
09/07/2021 13:00:06     24.065 N     55.504 W
09/07/2021 13:01:06     24.069 N     55.509 W
09/07/2021 13:03:05     24.073 N     55.513 W
09/07/2021 13:05:05     24.077 N     55.518 W
09/07/2021 13:07:05     24.081 N     55.522 W
09/07/2021 13:09:06     24.085 N     55.526 W
09/07/2021 13:11:06     24.090 N     55.531 W
09/07/2021 13:13:06     24.094 N     55.535 W
09/07/2021 13:15:06     24.098 N     55.540 W
09/07/2021 13:17:05     24.102 N     55.544 W
09/07/2021 13:18:00     24.104 N     55.546 W
09/07/2021 13:20:00     24.108 N     55.551 W
09/07/2021 13:22:00     24.113 N     55.556 W
09/07/2021 13:24:00     24.117 N     55.561 W
09/07/2021 13:26:00     24.122 N     55.565 W
09/07/2021 13:28:00     24.126 N     55.570 W
09/07/2021 13:30:00     24.130 N     55.575 W
09/07/2021 13:32:00     24.135 N     55.580 W
09/07/2021 13:34:00     24.139 N     55.585 W
09/07/2021 13:36:00     24.144 N     55.590 W
09/07/2021 13:38:00     24.148 N     55.595 W
09/07/2021 13:40:00     24.153 N     55.600 W
09/07/2021 13:42:00     24.157 N     55.604 W
09/07/2021 13:44:00     24.162 N     55.609 W
09/07/2021 13:46:00     24.166 N     55.614 W
09/07/2021 13:48:00     24.171 N     55.619 W
09/07/2021 13:50:00     24.175 N     55.624 W
09/07/2021 13:52:00     24.180 N     55.629 W
09/07/2021 13:54:00     24.184 N     55.634 W
09/07/2021 13:56:00     24.189 N     55.639 W
09/07/2021 13:58:00     24.194 N     55.644 W
09/07/2021 14:00:00     24.198 N     55.649 W
09/07/2021 14:02:00     24.203 N     55.654 W
09/07/2021 14:04:00     24.207 N     55.659 W
09/07/2021 14:06:00     24.212 N     55.664 W
09/07/2021 14:08:00     24.217 N     55.669 W
09/07/2021 14:10:00     24.221 N     55.674 W
09/07/2021 14:12:00     24.226 N     55.679 W
09/07/2021 14:14:00     24.231 N     55.684 W
09/07/2021 14:16:00     24.235 N     55.689 W
09/07/2021 14:18:00     24.240 N     55.694 W
09/07/2021 14:20:00     24.245 N     55.699 W
09/07/2021 14:22:00     24.250 N     55.704 W
09/07/2021 14:24:00     24.254 N     55.709 W
09/07/2021 14:26:00     24.259 N     55.714 W
09/07/2021 14:28:00     24.264 N     55.719 W
09/07/2021 14:30:00     24.269 N     55.724 W
09/07/2021 14:32:00     24.274 N     55.729 W
09/07/2021 14:34:00     24.279 N     55.734 W
09/07/2021 14:36:00     24.284 N     55.739 W
09/07/2021 14:38:00     24.288 N     55.744 W
09/07/2021 14:40:00     24.293 N     55.749 W
09/07/2021 14:42:00     24.298 N     55.754 W
09/07/2021 14:44:00     24.303 N     55.759 W
09/07/2021 14:46:00     24.308 N     55.765 W
09/07/2021 14:48:00     24.313 N     55.770 W
09/07/2021 14:50:00     24.318 N     55.775 W
09/07/2021 14:52:00     24.323 N     55.780 W
09/07/2021 14:54:00     24.328 N     55.785 W
09/07/2021 14:56:00     24.333 N     55.790 W
09/07/2021 14:58:00     24.338 N     55.795 W
09/07/2021 15:00:00     24.343 N     55.800 W
09/07/2021 15:02:00     24.348 N     55.805 W
09/07/2021 15:04:00     24.353 N     55.810 W
09/07/2021 15:06:00     24.358 N     55.816 W
09/07/2021 15:08:00     24.363 N     55.821 W
09/07/2021 15:10:00     24.368 N     55.826 W
09/07/2021 15:12:00     24.374 N     55.831 W
09/07/2021 15:14:00     24.379 N     55.836 W
09/07/2021 15:16:00     24.384 N     55.841 W
09/07/2021 15:18:00     24.389 N     55.846 W
09/07/2021 15:20:00     24.394 N     55.851 W
09/07/2021 15:22:00     24.399 N     55.856 W
09/07/2021 15:24:00     24.404 N     55.861 W
09/07/2021 15:26:00     24.409 N     55.866 W
09/07/2021 15:28:00     24.414 N     55.871 W
09/07/2021 15:30:00     24.419 N     55.876 W
09/07/2021 15:32:00     24.424 N     55.881 W
09/07/2021 15:34:00     24.429 N     55.886 W
09/07/2021 15:36:00     24.435 N     55.891 W
09/07/2021 15:38:00     24.440 N     55.896 W
09/07/2021 15:40:00     24.445 N     55.901 W
09/07/2021 15:42:00     24.450 N     55.906 W
09/07/2021 15:44:00     24.455 N     55.911 W
09/07/2021 15:46:00     24.460 N     55.915 W
09/07/2021 15:48:00     24.465 N     55.920 W
09/07/2021 15:50:00     24.470 N     55.925 W
09/07/2021 15:52:00     24.475 N     55.930 W
09/07/2021 15:54:00     24.480 N     55.935 W
09/07/2021 15:56:00     24.485 N     55.939 W
09/07/2021 15:58:00     24.490 N     55.944 W
09/07/2021 16:00:00     24.495 N     55.949 W
09/07/2021 16:02:00     24.500 N     55.953 W
09/07/2021 16:04:00     24.505 N     55.958 W
09/07/2021 16:06:00     24.510 N     55.963 W
09/07/2021 16:08:00     24.515 N     55.967 W
09/07/2021 16:10:00     24.520 N     55.972 W
09/07/2021 16:12:00     24.525 N     55.976 W
09/07/2021 16:14:00     24.530 N     55.981 W
09/07/2021 16:16:00     24.535 N     55.985 W
09/07/2021 16:18:00     24.540 N     55.989 W
09/07/2021 16:20:00     24.544 N     55.994 W
09/07/2021 16:22:00     24.549 N     55.998 W
09/07/2021 16:24:00     24.554 N     56.002 W
09/07/2021 16:26:00     24.559 N     56.007 W
09/07/2021 16:28:00     24.564 N     56.011 W
09/07/2021 16:30:00     24.568 N     56.015 W
09/07/2021 16:32:00     24.573 N     56.019 W
09/07/2021 16:34:00     24.578 N     56.023 W
09/07/2021 16:36:00     24.583 N     56.028 W
09/07/2021 16:38:00     24.587 N     56.032 W
09/07/2021 16:40:00     24.592 N     56.036 W
09/07/2021 16:42:00     24.597 N     56.040 W
09/07/2021 16:44:00     24.601 N     56.043 W
09/07/2021 16:46:00     24.606 N     56.047 W
09/07/2021 16:48:00     24.610 N     56.051 W
09/07/2021 16:50:00     24.615 N     56.055 W
09/07/2021 16:52:00     24.619 N     56.059 W
09/07/2021 16:54:00     24.624 N     56.062 W
09/07/2021 16:56:00     24.628 N     56.066 W
09/07/2021 16:58:00     24.633 N     56.070 W
09/07/2021 17:00:00     24.637 N     56.073 W
09/07/2021 17:02:00     24.641 N     56.077 W
09/07/2021 17:04:00     24.646 N     56.080 W
09/07/2021 17:06:00     24.650 N     56.083 W
09/07/2021 17:08:00     24.654 N     56.087 W
09/07/2021 17:10:00     24.658 N     56.090 W
09/07/2021 17:12:00     24.663 N     56.093 W
09/07/2021 17:14:00     24.667 N     56.096 W
09/07/2021 17:16:00     24.671 N     56.099 W
09/07/2021 17:18:00     24.675 N     56.102 W
09/07/2021 17:20:00     24.679 N     56.105 W
09/07/2021 17:22:00     24.683 N     56.108 W
09/07/2021 17:24:00     24.687 N     56.111 W
09/07/2021 17:26:00     24.691 N     56.114 W
09/07/2021 17:28:00     24.695 N     56.117 W
09/07/2021 17:30:00     24.699 N     56.120 W
09/07/2021 17:32:00     24.702 N     56.122 W
09/07/2021 17:34:00     24.706 N     56.125 W
09/07/2021 17:36:00     24.710 N     56.127 W
09/07/2021 17:38:00     24.714 N     56.130 W
09/07/2021 17:40:00     24.717 N     56.132 W
09/07/2021 17:42:00     24.721 N     56.134 W
09/07/2021 17:44:00     24.724 N     56.137 W
09/07/2021 17:46:00     24.728 N     56.139 W
09/07/2021 17:48:00     24.731 N     56.141 W
09/07/2021 17:50:00     24.735 N     56.143 W
09/07/2021 17:52:00     24.738 N     56.145 W
09/07/2021 17:54:00     24.741 N     56.147 W
09/07/2021 17:56:00     24.745 N     56.149 W
09/07/2021 17:58:00     24.748 N     56.151 W
09/07/2021 18:00:00     24.751 N     56.152 W
09/07/2021 18:02:00     24.754 N     56.154 W
09/07/2021 18:04:00     24.758 N     56.156 W
09/07/2021 18:06:00     24.761 N     56.157 W
09/07/2021 18:08:00     24.764 N     56.159 W
09/07/2021 18:10:00     24.767 N     56.160 W
09/07/2021 18:12:00     24.770 N     56.162 W
09/07/2021 18:14:00     24.773 N     56.163 W
09/07/2021 18:16:00     24.776 N     56.165 W
09/07/2021 18:18:00     24.779 N     56.166 W
09/07/2021 18:20:00     24.782 N     56.167 W
09/07/2021 18:22:00     24.785 N     56.168 W
09/07/2021 18:24:00     24.787 N     56.170 W
09/07/2021 18:26:00     24.790 N     56.171 W
09/07/2021 18:28:00     24.793 N     56.172 W
09/07/2021 18:30:00     24.796 N     56.173 W
09/07/2021 18:32:00     24.798 N     56.174 W
09/07/2021 18:34:00     24.801 N     56.175 W
09/07/2021 18:36:00     24.804 N     56.175 W
09/07/2021 18:38:00     24.806 N     56.176 W
09/07/2021 18:40:00     24.809 N     56.177 W
09/07/2021 18:42:00     24.811 N     56.178 W
09/07/2021 18:44:00     24.814 N     56.179 W
09/07/2021 18:46:00     24.816 N     56.179 W
09/07/2021 18:48:00     24.819 N     56.180 W
09/07/2021 18:50:00     24.821 N     56.180 W
09/07/2021 18:52:00     24.824 N     56.181 W
09/07/2021 18:54:00     24.826 N     56.181 W
09/07/2021 18:56:00     24.829 N     56.182 W
09/07/2021 18:58:00     24.831 N     56.182 W
09/07/2021 19:00:00     24.833 N     56.183 W
09/07/2021 19:02:00     24.836 N     56.183 W
09/07/2021 19:04:00     24.838 N     56.183 W
09/07/2021 19:06:00     24.840 N     56.184 W
09/07/2021 19:08:00     24.842 N     56.184 W
09/07/2021 19:10:00     24.845 N     56.184 W
09/07/2021 19:12:00     24.847 N     56.184 W
09/07/2021 19:14:00     24.849 N     56.185 W
09/07/2021 19:16:00     24.851 N     56.185 W
09/07/2021 19:18:00     24.853 N     56.185 W
09/07/2021 19:20:00     24.855 N     56.185 W
09/07/2021 19:22:00     24.858 N     56.185 W
09/07/2021 19:22:26     24.858 N     56.185 W
09/07/2021 19:24:26     24.860 N     56.185 W
09/07/2021 19:26:26     24.862 N     56.184 W
09/07/2021 19:28:25     24.864 N     56.184 W
09/07/2021 19:30:25     24.865 N     56.184 W
09/07/2021 19:32:25     24.867 N     56.184 W
09/07/2021 19:34:26     24.869 N     56.183 W
09/07/2021 19:36:26     24.871 N     56.183 W
09/07/2021 19:38:26     24.873 N     56.183 W
09/07/2021 19:40:26     24.875 N     56.182 W
09/07/2021 19:42:25     24.877 N     56.182 W
09/07/2021 19:44:25     24.879 N     56.182 W
09/07/2021 19:46:25     24.880 N     56.181 W
09/07/2021 19:48:25     24.882 N     56.181 W
09/07/2021 19:50:26     24.884 N     56.181 W
09/07/2021 19:52:26     24.886 N     56.181 W
09/07/2021 19:54:26     24.888 N     56.180 W
09/07/2021 19:56:26     24.890 N     56.180 W
09/07/2021 19:58:25     24.892 N     56.180 W
09/07/2021 20:00:25     24.894 N     56.179 W
09/07/2021 20:02:25     24.895 N     56.179 W
09/07/2021 20:04:26     24.897 N     56.179 W
09/07/2021 20:06:26     24.899 N     56.179 W
09/07/2021 20:08:26     24.901 N     56.178 W
09/07/2021 20:10:26     24.903 N     56.178 W
09/07/2021 20:12:25     24.905 N     56.178 W
09/07/2021 20:14:25     24.907 N     56.177 W
09/07/2021 20:16:25     24.909 N     56.177 W
09/07/2021 20:18:25     24.910 N     56.177 W
09/07/2021 20:20:26     24.912 N     56.176 W
09/07/2021 20:22:26     24.914 N     56.176 W
09/07/2021 20:24:26     24.916 N     56.176 W
09/07/2021 20:26:26     24.918 N     56.176 W
09/07/2021 20:28:25     24.920 N     56.175 W
09/07/2021 20:30:25     24.922 N     56.175 W
09/07/2021 20:32:25     24.924 N     56.175 W
09/07/2021 20:34:26     24.925 N     56.174 W
09/07/2021 20:36:26     24.927 N     56.174 W
09/07/2021 20:37:07     24.928 N     56.174 W
09/07/2021 20:39:07     24.936 N     56.176 W
09/07/2021 20:41:07     24.945 N     56.177 W
09/07/2021 20:43:07     24.954 N     56.179 W
09/07/2021 20:45:08     24.964 N     56.181 W
09/07/2021 20:47:08     24.973 N     56.183 W
09/07/2021 20:49:08     24.983 N     56.185 W
09/07/2021 20:51:08     24.993 N     56.187 W
09/07/2021 20:53:07     25.003 N     56.189 W
09/07/2021 20:55:07     25.013 N     56.192 W
09/07/2021 20:57:07     25.024 N     56.194 W
09/07/2021 21:00:07     25.034 N     56.197 W
09/07/2021 21:01:08     25.045 N     56.199 W
09/07/2021 21:03:08     25.055 N     56.202 W
09/07/2021 21:05:08     25.065 N     56.205 W
09/07/2021 21:07:07     25.076 N     56.208 W
09/07/2021 21:09:07     25.086 N     56.210 W
09/07/2021 21:11:07     25.096 N     56.213 W
09/07/2021 21:13:07     25.106 N     56.217 W
09/07/2021 21:15:08     25.116 N     56.220 W
09/07/2021 21:17:08     25.125 N     56.223 W
09/07/2021 21:19:08     25.135 N     56.226 W
09/07/2021 21:21:08     25.144 N     56.230 W
09/07/2021 21:23:07     25.152 N     56.233 W
09/07/2021 21:25:07     25.161 N     56.236 W
09/07/2021 21:27:07     25.169 N     56.240 W
09/07/2021 21:29:07     25.176 N     56.243 W
09/07/2021 21:31:08     25.183 N     56.247 W
09/07/2021 21:33:08     25.190 N     56.251 W
09/07/2021 21:35:08     25.196 N     56.254 W
09/07/2021 21:37:07     25.202 N     56.258 W
09/07/2021 21:39:07     25.207 N     56.262 W
09/07/2021 21:41:07     25.212 N     56.266 W
09/07/2021 21:43:07     25.216 N     56.269 W
09/07/2021 21:45:08     25.220 N     56.273 W
09/07/2021 21:47:08     25.223 N     56.277 W
09/07/2021 21:49:08     25.225 N     56.281 W
09/07/2021 21:51:08     25.228 N     56.285 W
09/07/2021 21:53:07     25.230 N     56.289 W
09/07/2021 21:53:40     25.230 N     56.290 W
09/07/2021 21:55:40     25.230 N     56.294 W
09/07/2021 21:57:40     25.229 N     56.299 W
09/07/2021 22:00:40     25.228 N     56.303 W
09/07/2021 22:01:41     25.226 N     56.308 W
09/07/2021 22:03:41     25.225 N     56.313 W
09/07/2021 22:05:41     25.223 N     56.317 W
09/07/2021 22:07:41     25.221 N     56.322 W
09/07/2021 22:09:40     25.218 N     56.326 W
09/07/2021 22:11:40     25.216 N     56.331 W
09/07/2021 22:13:40     25.213 N     56.335 W
09/07/2021 22:15:41     25.211 N     56.340 W
09/07/2021 22:17:41     25.208 N     56.344 W
09/07/2021 22:19:41     25.206 N     56.349 W
09/07/2021 22:21:41     25.203 N     56.353 W
09/07/2021 22:23:40     25.201 N     56.357 W
09/07/2021 22:25:40     25.198 N     56.361 W
09/07/2021 22:27:40     25.196 N     56.366 W
09/07/2021 22:29:40     25.194 N     56.370 W
09/07/2021 22:31:41     25.192 N     56.374 W
09/07/2021 22:33:41     25.190 N     56.377 W
09/07/2021 22:35:41     25.188 N     56.381 W
09/07/2021 22:37:41     25.187 N     56.385 W
09/07/2021 22:39:40     25.186 N     56.388 W
09/07/2021 22:41:40     25.185 N     56.391 W
09/07/2021 22:43:23     25.185 N     56.394 W
09/07/2021 22:45:23     25.185 N     56.397 W
09/07/2021 22:47:23     25.186 N     56.400 W
09/07/2021 22:49:22     25.186 N     56.403 W
09/07/2021 22:51:22     25.187 N     56.406 W
09/07/2021 22:53:22     25.189 N     56.409 W
09/07/2021 22:55:22     25.190 N     56.411 W
09/07/2021 22:57:23     25.192 N     56.414 W
09/07/2021 23:00:23     25.194 N     56.416 W
09/07/2021 23:01:23     25.196 N     56.418 W
09/07/2021 23:03:22     25.199 N     56.420 W
09/07/2021 23:05:22     25.202 N     56.422 W
09/07/2021 23:07:22     25.206 N     56.424 W
09/07/2021 23:09:22     25.209 N     56.425 W
09/07/2021 23:11:23     25.213 N     56.427 W
09/07/2021 23:13:23     25.218 N     56.428 W
09/07/2021 23:15:23     25.222 N     56.429 W
09/07/2021 23:17:23     25.227 N     56.430 W
09/07/2021 23:19:22     25.232 N     56.431 W
09/07/2021 23:21:22     25.238 N     56.432 W
09/07/2021 23:23:22     25.243 N     56.432 W
09/07/2021 23:25:22     25.249 N     56.433 W
09/07/2021 23:27:23     25.255 N     56.434 W
09/07/2021 23:29:23     25.261 N     56.434 W
09/07/2021 23:31:23     25.267 N     56.435 W
09/07/2021 23:33:22     25.273 N     56.435 W
09/07/2021 23:35:22     25.280 N     56.435 W
09/07/2021 23:37:22     25.286 N     56.436 W
09/07/2021 23:39:22     25.293 N     56.436 W
09/07/2021 23:41:23     25.300 N     56.437 W
09/07/2021 23:43:23     25.307 N     56.437 W
09/07/2021 23:45:23     25.313 N     56.438 W
09/07/2021 23:47:21     25.320 N     56.438 W
09/07/2021 23:49:21     25.324 N     56.440 W
09/07/2021 23:51:21     25.328 N     56.442 W
09/07/2021 23:53:22     25.332 N     56.444 W
09/07/2021 23:55:22     25.335 N     56.446 W
09/07/2021 23:57:22     25.339 N     56.448 W
09/07/2021 00:00:22     25.343 N     56.450 W
09/08/2021 00:01:21     25.346 N     56.453 W
09/08/2021 00:03:21     25.350 N     56.455 W
09/08/2021 00:05:21     25.354 N     56.457 W
09/08/2021 00:07:21     25.357 N     56.460 W
09/08/2021 00:09:22     25.361 N     56.462 W
09/08/2021 00:11:22     25.364 N     56.465 W
09/08/2021 00:13:22     25.368 N     56.468 W
09/08/2021 00:15:22     25.371 N     56.470 W
09/08/2021 00:17:21     25.375 N     56.473 W
09/08/2021 00:19:21     25.378 N     56.476 W
09/08/2021 00:21:21     25.381 N     56.479 W
09/08/2021 00:23:22     25.384 N     56.482 W
09/08/2021 00:25:22     25.388 N     56.485 W
09/08/2021 00:27:22     25.391 N     56.488 W
09/08/2021 00:29:22     25.394 N     56.491 W
09/08/2021 00:31:21     25.397 N     56.495 W
09/08/2021 00:33:21     25.400 N     56.498 W
09/08/2021 00:35:21     25.403 N     56.502 W
09/08/2021 00:37:21     25.406 N     56.505 W
09/08/2021 00:39:22     25.408 N     56.509 W
09/08/2021 00:41:22     25.411 N     56.513 W
09/08/2021 00:43:22     25.414 N     56.517 W
09/08/2021 00:45:22     25.417 N     56.521 W
09/08/2021 00:47:21     25.419 N     56.525 W
09/08/2021 00:49:21     25.422 N     56.529 W
09/08/2021 00:51:21     25.424 N     56.533 W
09/08/2021 00:53:22     25.427 N     56.537 W
09/08/2021 00:55:22     25.429 N     56.542 W
09/08/2021 00:57:22     25.431 N     56.546 W
09/08/2021 01:00:22     25.434 N     56.551 W
09/08/2021 01:01:21     25.436 N     56.556 W
09/08/2021 01:03:21     25.438 N     56.561 W
09/08/2021 01:05:21     25.440 N     56.566 W
09/08/2021 01:07:21     25.442 N     56.571 W
09/08/2021 01:09:22     25.444 N     56.576 W
09/08/2021 01:11:22     25.446 N     56.581 W
09/08/2021 01:13:22     25.447 N     56.587 W
09/08/2021 01:15:22     25.449 N     56.592 W
09/08/2021 01:17:21     25.451 N     56.598 W
09/08/2021 01:19:21     25.452 N     56.604 W
09/08/2021 01:21:21     25.454 N     56.609 W
09/08/2021 01:23:22     25.455 N     56.616 W
09/08/2021 01:25:22     25.456 N     56.622 W
09/08/2021 01:27:22     25.458 N     56.628 W
09/08/2021 01:29:22     25.459 N     56.634 W
09/08/2021 01:31:21     25.460 N     56.641 W
09/08/2021 01:31:24     25.460 N     56.641 W
09/08/2021 01:33:24     25.463 N     56.645 W
09/08/2021 01:35:24     25.466 N     56.649 W
09/08/2021 01:37:23     25.469 N     56.652 W
09/08/2021 01:39:23     25.472 N     56.656 W
09/08/2021 01:41:23     25.475 N     56.660 W
09/08/2021 01:43:23     25.478 N     56.664 W
09/08/2021 01:45:24     25.482 N     56.667 W
09/08/2021 01:47:24     25.485 N     56.671 W
09/08/2021 01:49:24     25.488 N     56.675 W
09/08/2021 01:51:23     25.491 N     56.679 W
09/08/2021 01:53:23     25.494 N     56.682 W
09/08/2021 01:55:23     25.498 N     56.686 W
09/08/2021 01:57:23     25.501 N     56.690 W
09/08/2021 02:00:24     25.504 N     56.694 W
09/08/2021 02:01:24     25.507 N     56.697 W
09/08/2021 02:03:24     25.511 N     56.701 W
09/08/2021 02:05:24     25.514 N     56.705 W
09/08/2021 02:07:23     25.517 N     56.708 W
09/08/2021 02:09:23     25.521 N     56.712 W
09/08/2021 02:11:23     25.524 N     56.716 W
09/08/2021 02:13:23     25.528 N     56.719 W
09/08/2021 02:15:24     25.531 N     56.723 W
09/08/2021 02:17:24     25.535 N     56.727 W
09/08/2021 02:19:24     25.538 N     56.730 W
09/08/2021 02:21:23     25.542 N     56.734 W
09/08/2021 02:23:23     25.545 N     56.737 W
09/08/2021 02:25:23     25.549 N     56.741 W
09/08/2021 02:27:23     25.553 N     56.745 W
09/08/2021 02:29:24     25.556 N     56.748 W
09/08/2021 02:31:24     25.560 N     56.752 W
09/08/2021 02:33:24     25.564 N     56.755 W
09/08/2021 02:35:24     25.568 N     56.759 W
09/08/2021 02:37:23     25.571 N     56.762 W
09/08/2021 02:39:23     25.575 N     56.766 W
09/08/2021 02:41:23     25.579 N     56.770 W
09/08/2021 02:43:23     25.583 N     56.773 W
09/08/2021 02:45:24     25.587 N     56.777 W
09/08/2021 02:47:24     25.591 N     56.780 W
09/08/2021 02:49:24     25.595 N     56.784 W
09/08/2021 02:51:23     25.599 N     56.787 W
09/08/2021 02:53:23     25.603 N     56.790 W
09/08/2021 02:55:23     25.607 N     56.794 W
09/08/2021 02:57:23     25.611 N     56.797 W
09/08/2021 03:00:24     25.615 N     56.801 W
09/08/2021 03:01:24     25.619 N     56.804 W
09/08/2021 03:03:24     25.624 N     56.808 W
09/08/2021 03:05:24     25.628 N     56.811 W
09/08/2021 03:07:23     25.632 N     56.814 W
09/08/2021 03:09:23     25.636 N     56.818 W
09/08/2021 03:11:23     25.641 N     56.821 W
09/08/2021 03:13:23     25.645 N     56.824 W
09/08/2021 03:15:24     25.650 N     56.828 W
09/08/2021 03:17:24     25.654 N     56.831 W
09/08/2021 03:19:24     25.659 N     56.834 W
09/08/2021 03:21:23     25.663 N     56.838 W
09/08/2021 03:23:23     25.668 N     56.841 W
09/08/2021 03:25:23     25.672 N     56.844 W
09/08/2021 03:27:23     25.677 N     56.848 W
09/08/2021 03:29:24     25.682 N     56.851 W
09/08/2021 03:31:24     25.686 N     56.854 W
09/08/2021 03:33:24     25.691 N     56.857 W
09/08/2021 03:35:24     25.696 N     56.861 W
09/08/2021 03:37:23     25.701 N     56.864 W
09/08/2021 03:39:23     25.706 N     56.867 W
09/08/2021 03:41:23     25.711 N     56.870 W
09/08/2021 03:43:23     25.715 N     56.873 W
09/08/2021 03:45:24     25.720 N     56.876 W
09/08/2021 03:47:24     25.726 N     56.880 W
09/08/2021 03:49:24     25.731 N     56.883 W
09/08/2021 03:51:23     25.736 N     56.886 W
09/08/2021 03:53:23     25.741 N     56.889 W
09/08/2021 03:55:23     25.746 N     56.892 W
09/08/2021 03:57:23     25.751 N     56.895 W
09/08/2021 04:00:24     25.757 N     56.898 W
09/08/2021 04:01:24     25.762 N     56.901 W
09/08/2021 04:03:24     25.767 N     56.904 W
09/08/2021 04:05:24     25.773 N     56.907 W
09/08/2021 04:07:23     25.778 N     56.910 W
09/08/2021 04:09:23     25.784 N     56.913 W
09/08/2021 04:11:23     25.790 N     56.916 W
09/08/2021 04:13:23     25.795 N     56.919 W
09/08/2021 04:15:24     25.801 N     56.922 W
09/08/2021 04:17:24     25.806 N     56.925 W
09/08/2021 04:19:24     25.812 N     56.928 W
09/08/2021 04:21:23     25.818 N     56.931 W
09/08/2021 04:23:23     25.824 N     56.934 W
09/08/2021 04:25:23     25.830 N     56.937 W
09/08/2021 04:27:23     25.835 N     56.939 W
09/08/2021 04:29:24     25.841 N     56.942 W
09/08/2021 04:31:24     25.847 N     56.945 W
09/08/2021 04:33:24     25.853 N     56.948 W
09/08/2021 04:35:24     25.859 N     56.951 W
09/08/2021 04:37:23     25.865 N     56.954 W
09/08/2021 04:39:23     25.871 N     56.957 W
09/08/2021 04:41:23     25.878 N     56.959 W
09/08/2021 04:43:23     25.884 N     56.962 W
09/08/2021 04:45:24     25.890 N     56.965 W
09/08/2021 04:47:24     25.896 N     56.968 W
09/08/2021 04:49:24     25.902 N     56.971 W
09/08/2021 04:51:23     25.909 N     56.973 W
09/08/2021 04:53:23     25.915 N     56.976 W
09/08/2021 04:55:23     25.921 N     56.979 W
09/08/2021 04:57:23     25.928 N     56.982 W
09/08/2021 05:00:24     25.934 N     56.984 W
09/08/2021 05:01:24     25.940 N     56.987 W
09/08/2021 05:03:24     25.947 N     56.990 W
09/08/2021 05:05:24     25.953 N     56.993 W
09/08/2021 05:07:23     25.960 N     56.995 W
09/08/2021 05:09:23     25.966 N     56.998 W
09/08/2021 05:11:23     25.973 N     57.001 W
09/08/2021 05:13:23     25.979 N     57.004 W
09/08/2021 05:15:24     25.986 N     57.006 W
09/08/2021 05:17:24     25.992 N     57.009 W
09/08/2021 05:19:24     25.999 N     57.012 W
09/08/2021 05:21:23     26.006 N     57.015 W
09/08/2021 05:23:23     26.012 N     57.017 W
09/08/2021 05:25:23     26.019 N     57.020 W
09/08/2021 05:27:23     26.026 N     57.023 W
09/08/2021 05:29:24     26.032 N     57.025 W
09/08/2021 05:31:24     26.039 N     57.028 W
09/08/2021 05:33:24     26.046 N     57.031 W
09/08/2021 05:35:24     26.053 N     57.034 W
09/08/2021 05:37:23     26.059 N     57.036 W
09/08/2021 05:39:23     26.066 N     57.039 W
09/08/2021 05:41:23     26.073 N     57.042 W
09/08/2021 05:43:23     26.080 N     57.045 W
09/08/2021 05:45:24     26.087 N     57.047 W
09/08/2021 05:47:24     26.093 N     57.050 W
09/08/2021 05:49:24     26.100 N     57.053 W
09/08/2021 05:51:23     26.107 N     57.056 W
09/08/2021 05:53:23     26.114 N     57.058 W
